Rank,Symbol,Company Name,"Average market capitalisation from July  01, 2024 to December 31, 2024 (Rs. In lakhs)"
1,RELIANCE,RELIANCE INDUSTRIES LIMITED,"190,419,300.15"
2,TCS,TATA CONSULTANCY SERVICES LIMITED,"154,067,468.10"
3,HDFCBANK,HDFC BANK LIMITED,"129,910,519.52"
4,BHARTIARTL,BHARTI AIRTEL LIMITED,"89,560,770.04"
5,ICICIBANK,ICICI BANK LIMITED,"88,412,395.68"
6,INFY,INFOSYS LIMITED,"77,267,704.01"
7,SBIN,STATE BANK OF INDIA,"73,499,068.88"
8,LICI,LIFE INSURANCE CORPORATION OF INDIA,"63,260,318.16"
9,HINDUNILVR,HINDUSTAN UNILEVER LIMITED,"62,243,488.10"
10,ITC,ITC LIMITED,"60,683,961.17"
11,LT,LARSEN & TOUBRO LIMITED,"49,972,065.76"
12,HCLTECH,HCL TECHNOLOGIES LIMITED,"47,822,553.68"
13,BAJFINANCE,BAJAJ FINANCE LIMITED,"43,237,001.19"
14,SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LIMITED,"42,820,902.41"
15,NTPC,NTPC LIMITED,"38,108,013.35"
16,MARUTI,MARUTI SUZUKI INDIA LIMITED,"37,655,401.55"
17,AXISBANK,AXIS BANK LIMITED,"36,527,182.28"
18,ONGC,OIL & NATURAL GAS CORPORATION LIMITED,"36,197,856.69"
19,M&M,MAHINDRA & MAHINDRA LIMITED,"35,982,814.02"
20,KOTAKBANK,KOTAK MAHINDRA BANK LIMITED,"35,686,960.77"
21,TATAMOTORS,TATA MOTORS LIMITED,"33,116,434.51"
22,ADANIENT,ADANI ENTERPRISES LIMITED,"33,049,546.42"
23,ULTRACEMCO,ULTRATECH CEMENT LIMITED,"33,046,925.91"
24,POWERGRID,POWER GRID CORPORATION OF INDIA LIMITED,"30,953,479.50"
25,HAL,HINDUSTAN AERONAUTICS LIMITED,"30,784,739.99"
26,TITAN,TITAN COMPANY LIMITED,"30,465,252.31"
27,ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,"30,109,799.35"
28,DMART,AVENUE SUPERMARTS LIMITED,"29,223,180.01"
29,COALINDIA,COAL INDIA LIMITED,"29,059,318.49"
30,WIPRO,WIPRO LIMITED,"28,702,054.22"
31,BAJAJ-AUTO,BAJAJ AUTO LIMITED,"28,253,270.99"
32,ASIANPAINT,ASIAN PAINTS LIMITED,"27,787,872.19"
33,BAJAJFINSV,BAJAJ FINSERV LIMITED,"27,157,980.77"
34,ADANIGREEN,ADANI GREEN ENERGY LIMITED,"25,973,908.72"
35,SIEMENS,SIEMENS LIMITED,"25,499,047.65"
36,ADANIPOWER,ADANI POWER LIMITED,"24,081,854.65"
37,TRENT,TRENT LIMITED,"24,030,369.43"
38,NESTLEIND,NESTLE INDIA LIMITED,"23,426,814.86"
39,JSWSTEEL,JSW STEEL LIMITED,"23,303,254.91"
40,ZOMATO,ZOMATO LIMITED,"23,006,209.11"
41,HINDZINC,HINDUSTAN ZINC LIMITED,"22,716,421.53"
42,IOC,INDIAN OIL CORPORATION LIMITED,"22,521,480.87"
43,BEL,BHARAT ELECTRONICS LIMITED,"21,736,729.46"
44,IRFC,INDIAN RAILWAY FINANCE CORPORATION LIMITED,"21,622,351.19"
45,JIOFIN,JIO FINANCIAL SERVICES LIMITED,"21,122,826.09"
46,DLF,DLF LIMITED,"20,800,907.33"
47,VBL,VARUN BEVERAGES LIMITED,"20,095,320.21"
48,TATASTEEL,TATA STEEL LIMITED,"19,178,680.89"
49,VEDL,VEDANTA LIMITED,"17,949,759.46"
50,LTIM,LTIMINDTREE LIMITED,"17,666,529.12"
51,GRASIM,GRASIM INDUSTRIES LIMITED,"17,628,670.43"
52,INDIGO,INTERGLOBE AVIATION LIMITED,"17,215,019.34"
53,SBILIFE,SBI LIFE INSURANCE COMPANY LIMITED,"16,557,204.64"
54,PFC,POWER FINANCE CORPORATION LIMITED,"16,412,990.94"
55,ABB,ABB INDIA LIMITED,"16,387,073.94"
56,TECHM,TECH MAHINDRA LIMITED,"15,943,006.93"
57,PIDILITIND,PIDILITE INDUSTRIES LIMITED,"15,936,007.44"
58,HINDALCO,HINDALCO INDUSTRIES LIMITED,"15,209,848.60"
59,AMBUJACEM,AMBUJA CEMENTS LIMITED,"14,917,604.13"
60,HYUNDAI,HYUNDAI MOTOR INDIA LIMITED,"14,817,313.08"
61,HDFCLIFE,HDFC LIFE INSURANCE COMPANY LIMITED,"14,779,614.38"
62,RECLTD,REC LIMITED,"14,764,748.12"
63,DIVISLAB,DIVI'S LABORATORIES LIMITED,"14,376,586.12"
64,GAIL,GAIL (INDIA) LIMITED,"14,279,347.08"
65,BPCL,BHARAT PETROLEUM CORPORATION LIMITED,"13,988,392.26"
66,TATAPOWER,TATA POWER COMPANY LIMITED,"13,829,112.34"
67,GODREJCP,GODREJ CONSUMER PRODUCTS LIMITED,"13,669,844.47"
68,BRITANNIA,BRITANNIA INDUSTRIES LIMITED,"13,483,584.74"
69,EICHERMOT,EICHER MOTORS LIMITED,"13,222,154.91"
70,MOTHERSON,SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,"12,898,906.20"
71,LODHA,MACROTECH DEVELOPERS LIMITED,"12,888,979.04"
72,BANKBARODA,BANK OF BARODA,"12,872,209.96"
73,CIPLA,CIPLA LIMITED,"12,520,665.95"
74,JSWENERGY,JSW ENERGY LIMITED,"12,266,165.14"
75,TVSMOTOR,TVS MOTOR COMPANY LIMITED,"12,247,625.33"
76,PNB,PUNJAB NATIONAL BANK,"12,071,602.27"
77,SHRIRAMFIN,SHRIRAM FINANCE LIMITED,"11,673,114.74"
78,CHOLAFIN,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,"11,650,944.03"
79,BAJAJHFL,BAJAJ HOUSING FINANCE LIMITED,"11,626,447.12"
80,SWIGGY,SWIGGY LIMITED,"11,494,775.20"
81,BAJAJHLDNG,BAJAJ HOLDINGS & INVESTMENT LIMITED,"11,488,179.06"
82,NTPCGREEN,NTPC GREEN ENERGY LIMITED,"11,474,414.00"
83,HAVELLS,HAVELLS INDIA LIMITED,"11,399,672.82"
84,ADANIENSOL,ADANI ENERGY SOLUTIONS LIMITED,"11,281,218.05"
85,CGPOWER,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,"11,253,283.20"
86,TORNTPHARM,TORRENT PHARMACEUTICALS LIMITED,"11,120,181.28"
87,DRREDDY,DR. REDDY'S LABORATORIES LIMITED,"10,996,474.78"
88,IOB,INDIAN OVERSEAS BANK,"10,938,721.25"
89,ZYDUSLIFE,ZYDUS LIFESCIENCES LIMITED,"10,804,549.24"
90,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,"10,725,571.91"
91,UNITDSPR,UNITED SPIRITS LIMITED,"10,690,715.72"
92,RVNL,RAIL VIKAS NIGAM LIMITED,"10,572,226.84"
93,HEROMOTOCO,HERO MOTOCORP LIMITED,"10,412,948.05"
94,DABUR,DABUR INDIA LIMITED,"10,388,030.53"
95,ICICIPRULI,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,"10,289,112.43"
96,BOSCHLTD,BOSCH LIMITED,"10,272,298.80"
97,POLYCAB,POLYCAB INDIA LIMITED,"10,262,842.11"
98,INDUSTOWER,INDUS TOWERS LIMITED,"10,260,230.35"
99,CUMMINSIND,CUMMINS INDIA LIMITED,"10,133,003.13"
100,NAUKRI,INFO EDGE (INDIA) LIMITED,"10,012,360.67"
101,INDHOTEL,THE INDIAN HOTELS COMPANY LIMITED,"9,949,825.03"
102,APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LIMITED,"9,895,040.54"
103,MANKIND,MANKIND PHARMA LIMITED,"9,882,806.66"
104,OFSS,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,"9,824,646.45"
105,INDUSINDBK,INDUSIND BANK LIMITED,"9,824,214.35"
106,ICICIGI,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,"9,821,583.92"
107,JINDALSTEL,JINDAL STEEL & POWER LIMITED,"9,803,325.96"
108,SOLARINDS,SOLAR INDUSTRIES INDIA LIMITED,"9,720,466.48"
109,CANBK,CANARA BANK,"9,698,073.98"
110,LUPIN,LUPIN LIMITED,"9,501,344.52"
111,MAXHEALTH,MAX HEALTHCARE INSTITUTE LIMITED,"9,453,100.79"
112,SUZLON,SUZLON ENERGY LIMITED,"9,412,964.54"
113,BHEL,BHARAT HEAVY ELECTRICALS LIMITED,"9,408,090.28"
114,UNIONBANK,UNION BANK OF INDIA,"9,407,334.43"
115,SHREECEM,SHREE CEMENT LIMITED,"9,348,822.08"
116,IDBI,IDBI BANK LIMITED,"9,345,706.35"
117,NHPC,NHPC LIMITED,"9,221,405.73"
118,HDFCAMC,HDFC ASSET MANAGEMENT COMPANY LIMITED,"9,220,218.20"
119,MAZDOCK,MAZAGON DOCK SHIPBUILDERS LIMITED,"9,218,780.87"
120,OIL,OIL INDIA LIMITED,"8,968,263.34"
121,COLPAL,COLGATE PALMOLIVE (INDIA) LIMITED,"8,799,122.70"
122,ATGL,ADANI TOTAL GAS LIMITED,"8,660,441.37"
123,DIXON,DIXON TECHNOLOGIES (INDIA) LIMITED,"8,502,897.16"
124,MARICO,MARICO LIMITED,"8,466,356.43"
125,PERSISTENT,PERSISTENT SYSTEMS LIMITED,"8,344,973.36"
126,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LIMITED,"8,325,840.20"
127,WAAREEENER,WAAREE ENERGIES LIMITED,"8,308,177.79"
128,GODREJPROP,GODREJ PROPERTIES LIMITED,"8,278,235.54"
129,TORNTPOWER,TORRENT POWER LIMITED,"8,170,241.11"
130,GMRAIRPORT,GMR AIRPORTS LIMITED,"8,137,923.45"
131,AUROPHARMA,AUROBINDO PHARMA LIMITED,"8,134,533.48"
132,IDEA,VODAFONE IDEA LIMITED,"7,964,477.48"
133,POLICYBZR,PB FINTECH LIMITED,"7,840,215.80"
134,TIINDIA,TUBE INVESTMENTS OF INDIA LIMITED,"7,769,434.18"
135,MUTHOOTFIN,MUTHOOT FINANCE LIMITED,"7,733,237.73"
136,INDIANB,INDIAN BANK,"7,413,171.24"
137,PRESTIGE,PRESTIGE ESTATES PROJECTS LIMITED,"7,303,594.86"
138,IRCTC,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,"7,156,606.35"
139,SRF,SRF LIMITED,"7,058,844.36"
140,YESBANK,YES BANK LIMITED,"7,027,584.61"
141,GICRE,GENERAL INSURANCE CORPORATION OF INDIA,"6,989,021.40"
142,BHARATFORG,BHARAT FORGE LIMITED,"6,981,333.00"
143,OBEROIRLTY,OBEROI REALTY LIMITED,"6,919,620.40"
144,SBICARD,SBI CARDS AND PAYMENT SERVICES LIMITED,"6,890,984.13"
145,ASHOKLEY,ASHOK LEYLAND LIMITED,"6,851,485.95"
146,ALKEM,ALKEM LABORATORIES LIMITED,"6,830,033.45"
147,JSWINFRA,JSW INFRASTRUCTURE LIMITED,"6,760,213.42"
148,KALYANKJIL,KALYAN JEWELLERS INDIA LIMITED,"6,743,976.13"
149,NMDC,NMDC LIMITED,"6,676,689.98"
150,BHARTIHEXA,BHARTI HEXACOM LIMITED,"6,547,539.68"
151,PIIND,PI INDUSTRIES LIMITED,"6,512,190.78"
152,SUPREMEIND,SUPREME INDUSTRIES LIMITED,"6,508,951.08"
153,LINDEINDIA,LINDE INDIA LIMITED,"6,499,506.21"
154,PATANJALI,PATANJALI FOODS LIMITED,"6,426,192.94"
155,BERGEPAINT,BERGER PAINTS (I) LIMITED,"6,249,195.49"
156,FACT,FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,"6,190,565.79"
